,Ticker,Company,Title,Date,Time,Participant Name,Participant Type,Participant Organization
124,EVTZF,['Evertz Technologies Limited '],ertz Technologies Limited (EVTZF) Q2 2021 Results - Earnings Call Transcript,"Dec.9,2020",10:46PM,Brian Campbell , EVP of Business Development,Evertz Technologies Limited 
125,EVTZF,['Evertz Technologies Limited '],ertz Technologies Limited (EVTZF) Q2 2021 Results - Earnings Call Transcript,"Dec.9,2020",10:46PM,Doug Moore , CFO,Evertz Technologies Limited 
126,GNSS,['Genasys Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.9,2020",10:08PM,Satya Chillara , Investor Relations,Genasys Inc. 
127,GNSS,['Genasys Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.9,2020",10:08PM,Dennis Klahn , Chief Financial Officer ,Genasys Inc. 
128,GNSS,['Genasys Inc. '],Q4 2020 Results - Earnings Call Transcript,"Dec.9,2020",10:08PM,Richard Danforth , Chief Executive Officer,Genasys Inc. 
129,NCNO,"['nCino, Inc. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.9,2020",9:19,Greg Orenstein , Chief Corporate Development & Legal Officer,"nCino, Inc. "
130,NCNO,"['nCino, Inc. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.9,2020",9:19,Pierre Naude , CEO,"nCino, Inc. "
131,NCNO,"['nCino, Inc. ']",Q3 2021 Results - Earnings Call Transcript,"Dec.9,2020",9:19,David Rudow , CFO,"nCino, Inc. "
132,NNWWF,"['North West Company, Inc. ']",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",8:33,Edward Kennedy ," President, CEO & Director","North West Company, Inc. "
133,NNWWF,"['North West Company, Inc. ']",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",8:33,Amanda Sutton ," VP, Legal & Corporate Secretary","North West Company, Inc. "
134,NNWWF,"['North West Company, Inc. ']",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",8:33,Alex Yeo ," President, Canadian Retail","North West Company, Inc. "
135,NNWWF,"['North West Company, Inc. ']",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",8:33,Daniel McConnell ," President, International Retail","North West Company, Inc. "
136,NNWWF,"['North West Company, Inc. ']",Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",8:33,John King , EVP & CFO,"North West Company, Inc. "
137,C,['Citigroup Inc. '],erence 2020 (Transcript),"Dec.9,2020",8:15,Mark Mason , Chief Financial Officer,Citigroup Inc. 
138,WMB,"['The Williams Companies, Inc. ']",erence (Transcript),"Dec.9,2020",7:48,John Chandler , Senior Vice President & Chief Financial Officer,"The Williams Companies, Inc. "
139,VRNT,['Verint Systems Inc. '],Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",7:43,Alan Roden ," SVP, Corporate Development",Verint Systems Inc. 
140,VRNT,['Verint Systems Inc. '],Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",7:43,Dan Bodner , CEO,Verint Systems Inc. 
141,VRNT,['Verint Systems Inc. '],Q3 2020 Results - Earnings Call Transcript,"Dec.9,2020",7:43,Doug Robinson , CFO,Verint Systems Inc. 
